data-size, accuracy, precision, recall, false-alarm, d2h, f1-score, ifa, training-time
0.01, 47.79, 47.79, 100.00, 100.00, 100.00, 64.63, 1, 0.50
0.02, 48.88, 47.79, 71.25, 73.02, 78.48, 57.16, 0, 0.79
0.03, 48.88, 48.39, 88.10, 88.75, 89.55, 62.42, 0, 0.78
0.04, 48.88, 49.60, 56.23, 56.62, 71.57, 52.65, 1, 0.88
0.05, 48.88, 48.13, 75.27, 76.64, 80.53, 58.67, 1, 0.95
0.06, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 1.03
0.07, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 1.16
0.08, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 1.23
0.09, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 1.34
0.1, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 1.49
0.2, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 2.50
0.3, 48.88, 48.82, 98.53, 98.60, 98.61, 65.25, 0, 3.71
0.4, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 4.90
0.5, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 5.69
0.6, 48.88, 48.78, 87.55, 88.07, 88.95, 62.60, 0, 6.86
0.7, 48.88, 48.54, 84.98, 85.71, 87.02, 61.74, 0, 7.98
0.8, 48.88, 48.88, 100.00, 100.00, 100.00, 65.62, 2, 9.27
0.9, 48.88, 48.89, 68.31, 69.27, 76.17, 56.94, 0, 10.38
1, 48.88, 48.89, 88.83, 89.26, 89.96, 63.02, 0, 11.35
5, 48.88, 48.48, 90.66, 91.16, 91.64, 63.13, 0, 58.21
10, 48.88, 49.23, 35.35, 36.05, 74.02, 41.10, 0, 115.44
15, 48.88, 48.39, 66.12, 67.54, 75.57, 55.83, 0, 176.62
20, 48.88, 48.60, 41.39, 42.75, 72.55, 44.66, 0, 249.62
25, 48.88, 47.62, 21.98, 23.66, 81.53, 30.03, 0, 311.85
30, 48.88, 45.90, 5.13, 5.99, 95.06, 9.21, 0, 393.34
35, 48.88, 46.95, 18.31, 20.21, 84.15, 26.31, 0, 470.89
40, 48.88, 48.52, 36.08, 37.46, 74.08, 41.34, 0, 567.11
45, 48.88, 48.52, 36.08, 37.46, 74.08, 41.34, 0, 655.35
50, 48.88, 42.34, 8.61, 11.37, 92.10, 14.28, 0, 758.28
55, 48.88, 48.23, 34.98, 36.61, 74.62, 40.50, 0, 859.86
60, 48.88, 50.12, 37.18, 37.06, 72.94, 42.64, 0, 967.70
65, 48.88, 50.12, 37.18, 37.06, 72.94, 42.64, 0, 1072.68
70, 48.88, 50.12, 37.18, 37.06, 72.94, 42.64, 0, 1189.17
75, 48.88, 50.12, 37.18, 37.06, 72.94, 42.64, 0, 1310.55
80, 48.88, 50.39, 35.53, 35.17, 73.44, 41.63, 0, 1419.80
85, 48.88, 50.39, 35.53, 35.17, 73.44, 41.63, 0, 1606.12
90, 48.88, 51.69, 11.17, 10.52, 89.45, 18.34, 0, 1656.29
95, 48.88, 51.69, 11.17, 10.52, 89.45, 18.34, 0, 1789.04
100, 48.88, 50.39, 35.53, 35.17, 73.44, 41.63, 0, 1923.20
